"FeatureID","FeatureName","Phase","Category","Vendors","FreeRADIUSDictionary","RFCsAndStandards","Priority","Dependencies","EstimatedComplexity","CurrentImplementationStatus","MissingFunctionality","RequiredBackendWork","RequiredPacketProcessingWork","RequiredPolicyEngineWork","RequiredDatabaseWork","RequiredAPIWork","RequiredUIWork","RequiredTesting","RequiredDocumentation","AcceptanceCriteria","ProductionReadinessCriteria"
"NAS-0024","EAP-FAST and EAP-PWD","Phase 2 - Authentication","Authentication","Cisco; embedded and Wi-Fi vendors","Cisco; WiFi-Alliance","RFC 4851;RFC 5931","Medium","NAS-0022","L","Complete","No software implementation remains; supplicant, AP/controller, FreeRADIUS-on-Linux, HA, performance, and security evidence are tracked in the NAS-0024 release certification checklist.","Implemented FAST/PWD method adapters, policy evaluation, config validation, dashboard/API visibility, readiness checks, and bounded telemetry.","Generated conservative FreeRADIUS fast/pwd blocks and deterministic rejects for Message-Authenticator, cryptobinding, PAC, group, proof, and replay failures.","Added method eligibility for FAST and PWD with fail-closed blocking, identity binding, PAC governance, strong PWD group rules, and downgrade-safe defaults.","Added eap_fast_pwd_events with hashed identities, NAS context, method evidence, indexes, retention, and migration repair.","Added /api/v1/system/eap-framework/fast-pwd plus evaluate API, OpenAPI discovery, RBAC, system status, and support-bundle capture.","Added Access Settings controls and dashboard health card for FAST/PWD policy and runtime evidence.","Unit, API, config, DB migration, generator, readiness, RBAC, support bundle, CI target, and frontend build coverage added.","Added EAP-FAST/PWD operator guide, config example updates, API docs, product-mode guide updates, roadmap closure, and release certification checklist.","All software behavior for EAP-FAST and EAP-PWD passes automated tests and exposes effective state; external validation is tracked separately.","Engineering readiness requires fail-closed EAP policy, hashed telemetry, generated config safety, bounded retention, UI/API visibility, complete documentation, automated tests, and zero unresolved Critical software defects."
"NAS-0025","EAP-SIM, AKA, and AKA-prime","Phase 2 - Authentication","Authentication","3GPP; 3GPP2; Ericsson; Starent; WiMAX","3GPP; 3GPP2; Ericsson; Starent; WiMAX","RFC 4186;RFC 4187;RFC 5448","High","NAS-0005;NAS-0022","XL","Missing","No SIM identity, triplet/quintuplet provider, pseudonym, reauth, roaming, or HSS/UDM integration.","Implement the identity/method adapter, transaction state, credential lifecycle, health, cache, and failover.","Implement typed EAP/RADIUS challenge negotiation, fragmentation, method state, channel binding, and rejects.","Add method eligibility, chaining, step-up, fallback, lockout, risk, and identity precedence rules.","Persist bounded method/session state, credential references, enrollment, revocation, recovery, and audit events.","Add provider/method configuration, enrollment, challenge, recovery, preview, status, and audit APIs.","Add method/provider setup, enrollment, dependency checks, recovery, certificate/credential status, and logs.","Method vectors, wrong credentials, downgrade, replay, timeout, failover, supplicant/vendor, scale, and HA tests.","Method architecture, provider setup, enrollment, recovery, interoperability, and troubleshooting.","All named behavior for EAP-SIM, AKA, and AKA-prime passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0026","Machine and user authentication correlation","Phase 2 - Authentication","Authentication","Microsoft; Cisco; Aruba; HP","Microsoft; Cisco; Aruba; HP","RFC 3748","High","NAS-0018;NAS-0023","L","Missing","No machine/user dual-session correlation, authorization merge, transition, or audit model.","Implement the identity/method adapter, transaction state, credential lifecycle, health, cache, and failover.","Implement typed EAP/RADIUS challenge negotiation, fragmentation, method state, channel binding, and rejects.","Add method eligibility, chaining, step-up, fallback, lockout, risk, and identity precedence rules.","Persist bounded method/session state, credential references, enrollment, revocation, recovery, and audit events.","Add provider/method configuration, enrollment, challenge, recovery, preview, status, and audit APIs.","Add method/provider setup, enrollment, dependency checks, recovery, certificate/credential status, and logs.","Method vectors, wrong credentials, downgrade, replay, timeout, failover, supplicant/vendor, scale, and HA tests.","Method architecture, provider setup, enrollment, recovery, interoperability, and troubleshooting.","All named behavior for Machine and user authentication correlation passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0027","Enterprise certificate lifecycle and enrollment protocols","Phase 2 - Authentication","Authentication","All 802.1X vendors","Standard RADIUS; FreeRADIUS","RFC 5280;RFC 7030;RFC 8894","Critical","NAS-0007;NAS-0022","XL","Partial","Internal/external CA basics exist; EST/SCEP, escrow policy, renewal scale, OCSP/CRL HA, templates, and issuer rotation remain.","Implement the identity/method adapter, transaction state, credential lifecycle, health, cache, and failover.","Implement typed EAP/RADIUS challenge negotiation, fragmentation, method state, channel binding, and rejects.","Add method eligibility, chaining, step-up, fallback, lockout, risk, and identity precedence rules.","Persist bounded method/session state, credential references, enrollment, revocation, recovery, and audit events.","Add provider/method configuration, enrollment, challenge, recovery, preview, status, and audit APIs.","Add method/provider setup, enrollment, dependency checks, recovery, certificate/credential status, and logs.","Method vectors, wrong credentials, downgrade, replay, timeout, failover, supplicant/vendor, scale, and HA tests.","Method architecture, provider setup, enrollment, recovery, interoperability, and troubleshooting.","All named behavior for Enterprise certificate lifecycle and enrollment protocols passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0028","Password lifecycle and supplicant profile delivery","Phase 2 - Authentication","Authentication","Microsoft; Apple; Android; all Wi-Fi","Microsoft; WiFi-Alliance","RFC 5216;RFC 9190","High","NAS-0018;NAS-0022;NAS-0027","L","Missing","No password-change workflow, verifier compatibility policy, signed supplicant profiles, trust-anchor pinning, or enrollment UX matrix.","Implement the identity/method adapter, transaction state, credential lifecycle, health, cache, and failover.","Implement typed EAP/RADIUS challenge negotiation, fragmentation, method state, channel binding, and rejects.","Add method eligibility, chaining, step-up, fallback, lockout, risk, and identity precedence rules.","Persist bounded method/session state, credential references, enrollment, revocation, recovery, and audit events.","Add provider/method configuration, enrollment, challenge, recovery, preview, status, and audit APIs.","Add method/provider setup, enrollment, dependency checks, recovery, certificate/credential status, and logs.","Method vectors, wrong credentials, downgrade, replay, timeout, failover, supplicant/vendor, scale, and HA tests.","Method architecture, provider setup, enrollment, recovery, interoperability, and troubleshooting.","All named behavior for Password lifecycle and supplicant profile delivery passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0029","Typed policy expression engine","Phase 3 - Authorization","Authorization","All","All dictionaries","RFC 2865","Critical","NAS-0002;NAS-0008","XL","Partial","Current condition language cannot express enterprise nested, temporal, device, risk, service, and tenant decisions.","Build typed authorization evaluators, versioning, simulation, approval, and service adapters.","Map trusted request/reply attributes into typed decision inputs/outputs with precedence and bounds.","Define expression types, nested sets, conflict rules, explain plans, tenant boundaries, and rollback.","Store immutable policy versions, approvals, simulations, conflicts, ownership, and effective decisions.","Add policy CRUD/version/compare/simulate/approve/activate/explain APIs with RBAC and tenancy.","Add typed editors, explain/simulation, conflicts, approvals, version diff, and effective-policy views.","Expression/property, conflict, replay, privilege escalation, tenant isolation, scale, HA, and rollback tests.","Policy language, precedence, approval, simulation, migration, and operator examples.","All named behavior for Typed policy expression engine passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0030","Nested policy sets and versioned approvals","Phase 3 - Authorization","Authorization","All","All dictionaries","No direct RFC; internal architecture and applicable product/security standards","Critical","NAS-0029","L","Missing","No immutable versions, nested sets, maker-checker approval, staged activation, or policy rollback graph.","Build typed authorization evaluators, versioning, simulation, approval, and service adapters.","Map trusted request/reply attributes into typed decision inputs/outputs with precedence and bounds.","Define expression types, nested sets, conflict rules, explain plans, tenant boundaries, and rollback.","Store immutable policy versions, approvals, simulations, conflicts, ownership, and effective decisions.","Add policy CRUD/version/compare/simulate/approve/activate/explain APIs with RBAC and tenancy.","Add typed editors, explain/simulation, conflicts, approvals, version diff, and effective-policy views.","Expression/property, conflict, replay, privilege escalation, tenant isolation, scale, HA, and rollback tests.","Policy language, precedence, approval, simulation, migration, and operator examples.","All named behavior for Nested policy sets and versioned approvals passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0031","Policy simulation, conflict, and shadow analysis","Phase 3 - Authorization","Authorization","All","All dictionaries","No direct RFC; internal architecture and applicable product/security standards","High","NAS-0029;NAS-0030","L","Missing","No historical replay, explain plan, conflict detection, shadowed-rule report, or expected blast radius.","Build typed authorization evaluators, versioning, simulation, approval, and service adapters.","Map trusted request/reply attributes into typed decision inputs/outputs with precedence and bounds.","Define expression types, nested sets, conflict rules, explain plans, tenant boundaries, and rollback.","Store immutable policy versions, approvals, simulations, conflicts, ownership, and effective decisions.","Add policy CRUD/version/compare/simulate/approve/activate/explain APIs with RBAC and tenancy.","Add typed editors, explain/simulation, conflicts, approvals, version diff, and effective-policy views.","Expression/property, conflict, replay, privilege escalation, tenant isolation, scale, HA, and rollback tests.","Policy language, precedence, approval, simulation, migration, and operator examples.","All named behavior for Policy simulation, conflict, and shadow analysis passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0032","Per-service authorization and subscriber chains","Phase 3 - Authorization","Authorization","Juniper ERX; Huawei; H3C; Nokia SR; Starent","ERX; Huawei; H3C; Alcatel-Lucent-Service-Router; Starent","RFC 2865","High","NAS-0029","XL","Missing","No multiple services per session, ordered activation, dependency, rollback, or service-level accounting.","Build typed authorization evaluators, versioning, simulation, approval, and service adapters.","Map trusted request/reply attributes into typed decision inputs/outputs with precedence and bounds.","Define expression types, nested sets, conflict rules, explain plans, tenant boundaries, and rollback.","Store immutable policy versions, approvals, simulations, conflicts, ownership, and effective decisions.","Add policy CRUD/version/compare/simulate/approve/activate/explain APIs with RBAC and tenancy.","Add typed editors, explain/simulation, conflicts, approvals, version diff, and effective-policy views.","Expression/property, conflict, replay, privilege escalation, tenant isolation, scale, HA, and rollback tests.","Policy language, precedence, approval, simulation, migration, and operator examples.","All named behavior for Per-service authorization and subscriber chains passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0033","Command authorization and TACACS+","Phase 3 - Authorization","Authorization","Cisco; Juniper; HP; Dell; Brocade; Extreme; Arista","Cisco; Juniper; HP; DellEMC; Brocade; Extreme; Arista","RFC 8907","High","NAS-0007;NAS-0029","XL","Missing","No TACACS+ server, command sets, privilege levels, device-admin accounting, or vendor CLI certification.","Build typed authorization evaluators, versioning, simulation, approval, and service adapters.","Map trusted request/reply attributes into typed decision inputs/outputs with precedence and bounds.","Define expression types, nested sets, conflict rules, explain plans, tenant boundaries, and rollback.","Store immutable policy versions, approvals, simulations, conflicts, ownership, and effective decisions.","Add policy CRUD/version/compare/simulate/approve/activate/explain APIs with RBAC and tenancy.","Add typed editors, explain/simulation, conflicts, approvals, version diff, and effective-policy views.","Expression/property, conflict, replay, privilege escalation, tenant isolation, scale, HA, and rollback tests.","Policy language, precedence, approval, simulation, migration, and operator examples.","All named behavior for Command authorization and TACACS+ passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0034","Hard tenant isolation and delegated policy trees","Phase 3 - Authorization","Authorization","All MSP and controller vendors","Tenant/location families","No direct RFC; internal architecture and applicable product/security standards","Critical","NAS-0008;NAS-0029;NAS-0030","XL","Partial","Tenant fields exist but storage, secrets, CAs, dictionaries, quotas, controllers, billing, and policy ownership are shared.","Build typed authorization evaluators, versioning, simulation, approval, and service adapters.","Map trusted request/reply attributes into typed decision inputs/outputs with precedence and bounds.","Define expression types, nested sets, conflict rules, explain plans, tenant boundaries, and rollback.","Store immutable policy versions, approvals, simulations, conflicts, ownership, and effective decisions.","Add policy CRUD/version/compare/simulate/approve/activate/explain APIs with RBAC and tenancy.","Add typed editors, explain/simulation, conflicts, approvals, version diff, and effective-policy views.","Expression/property, conflict, replay, privilege escalation, tenant isolation, scale, HA, and rollback tests.","Policy language, precedence, approval, simulation, migration, and operator examples.","All named behavior for Hard tenant isolation and delegated policy trees passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0035","FreeRADIUS SQL accounting schema reconciliation","Phase 4 - Accounting","Accounting","All","FreeRADIUS; standard accounting","RFC 2866","Critical","NAS-0008;NAS-0009","L","Partial","Generated SQL expects radacct/radpostauth but migrations and atomic product ingestion do not provide them.","Implement durable accounting ingestion, normalization, correlation, spooling, replay, and export pipelines.","Decode Start/Interim/Stop/vendor records, repeated values, 64-bit counters, IPv6, routes, and malformed events.","Define idempotency, ordering, late event, quota, charging, retention, privacy, and reconciliation rules.","Add event ledger, normalized sessions/services/counters/CDRs, idempotency keys, partitions, indexes, and archive.","Add ingest status, session/CDR query, replay, reconciliation, export, pagination, and audit endpoints.","Add ingest health, duplicates/gaps, session/service timelines, charging, replay, and reconciliation views.","Duplicate/reorder/loss, gigaword, rollover, IPv6, spool crash, replay, scale, HA, and billing tests.","Accounting semantics, data model, replay, reconciliation, retention, export, and recovery guides.","All named behavior for FreeRADIUS SQL accounting schema reconciliation passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0036","Accounting idempotency, duplicate, and ordering engine","Phase 4 - Accounting","Accounting","All","All accounting dictionaries","RFC 2866","Critical","NAS-0035","L","Missing","No event identity, sequence window, duplicate/reorder handling, late Stop merge, or deterministic replay.","Implement durable accounting ingestion, normalization, correlation, spooling, replay, and export pipelines.","Decode Start/Interim/Stop/vendor records, repeated values, 64-bit counters, IPv6, routes, and malformed events.","Define idempotency, ordering, late event, quota, charging, retention, privacy, and reconciliation rules.","Add event ledger, normalized sessions/services/counters/CDRs, idempotency keys, partitions, indexes, and archive.","Add ingest status, session/CDR query, replay, reconciliation, export, pagination, and audit endpoints.","Add ingest health, duplicates/gaps, session/service timelines, charging, replay, and reconciliation views.","Duplicate/reorder/loss, gigaword, rollover, IPv6, spool crash, replay, scale, HA, and billing tests.","Accounting semantics, data model, replay, reconciliation, retention, export, and recovery guides.","All named behavior for Accounting idempotency, duplicate, and ordering engine passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0037","64-bit counters and gigaword rollover","Phase 4 - Accounting","Accounting","All ISP and enterprise vendors","Standard; Cisco; Juniper; Huawei; Cambium","RFC 2866","Critical","NAS-0035;NAS-0036","M","Partial","Octets are incomplete; no gigaword rollover, overflow proof, counter reset semantics, or 64-bit invariants.","Implement durable accounting ingestion, normalization, correlation, spooling, replay, and export pipelines.","Decode Start/Interim/Stop/vendor records, repeated values, 64-bit counters, IPv6, routes, and malformed events.","Define idempotency, ordering, late event, quota, charging, retention, privacy, and reconciliation rules.","Add event ledger, normalized sessions/services/counters/CDRs, idempotency keys, partitions, indexes, and archive.","Add ingest status, session/CDR query, replay, reconciliation, export, pagination, and audit endpoints.","Add ingest health, duplicates/gaps, session/service timelines, charging, replay, and reconciliation views.","Duplicate/reorder/loss, gigaword, rollover, IPv6, spool crash, replay, scale, HA, and billing tests.","Accounting semantics, data model, replay, reconciliation, retention, export, and recovery guides.","All named behavior for 64-bit counters and gigaword rollover passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0038","IPv6, route, and delegated-prefix accounting","Phase 4 - Accounting","Accounting","All dual-stack; broadband vendors","ERX; Huawei; Nokia; 3GPP; DHCP","RFC 3162;RFC 6911","High","NAS-0035;NAS-0036","L","Missing","No IPv6 address/prefix/route lifecycle correlated with accounting records.","Implement durable accounting ingestion, normalization, correlation, spooling, replay, and export pipelines.","Decode Start/Interim/Stop/vendor records, repeated values, 64-bit counters, IPv6, routes, and malformed events.","Define idempotency, ordering, late event, quota, charging, retention, privacy, and reconciliation rules.","Add event ledger, normalized sessions/services/counters/CDRs, idempotency keys, partitions, indexes, and archive.","Add ingest status, session/CDR query, replay, reconciliation, export, pagination, and audit endpoints.","Add ingest health, duplicates/gaps, session/service timelines, charging, replay, and reconciliation views.","Duplicate/reorder/loss, gigaword, rollover, IPv6, spool crash, replay, scale, HA, and billing tests.","Accounting semantics, data model, replay, reconciliation, retention, export, and recovery guides.","All named behavior for IPv6, route, and delegated-prefix accounting passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0039","Multi-service session correlation","Phase 4 - Accounting","Accounting","BNG; mobile; voice vendors","ERX; Starent; Ericsson; BroadSoft; Acme","RFC 2866","High","NAS-0032;NAS-0036","XL","Missing","One session model cannot correlate child services, bearer legs, calls, roaming, or reauthorization.","Implement durable accounting ingestion, normalization, correlation, spooling, replay, and export pipelines.","Decode Start/Interim/Stop/vendor records, repeated values, 64-bit counters, IPv6, routes, and malformed events.","Define idempotency, ordering, late event, quota, charging, retention, privacy, and reconciliation rules.","Add event ledger, normalized sessions/services/counters/CDRs, idempotency keys, partitions, indexes, and archive.","Add ingest status, session/CDR query, replay, reconciliation, export, pagination, and audit endpoints.","Add ingest health, duplicates/gaps, session/service timelines, charging, replay, and reconciliation views.","Duplicate/reorder/loss, gigaword, rollover, IPv6, spool crash, replay, scale, HA, and billing tests.","Accounting semantics, data model, replay, reconciliation, retention, export, and recovery guides.","All named behavior for Multi-service session correlation passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0040","Durable accounting ingest spool and replay","Phase 4 - Accounting","Accounting","All","All accounting dictionaries","RFC 2866","Critical","NAS-0035;NAS-0036","L","Missing","No local write-ahead queue, backpressure, poison record quarantine, replay controls, or loss SLO.","Implement durable accounting ingestion, normalization, correlation, spooling, replay, and export pipelines.","Decode Start/Interim/Stop/vendor records, repeated values, 64-bit counters, IPv6, routes, and malformed events.","Define idempotency, ordering, late event, quota, charging, retention, privacy, and reconciliation rules.","Add event ledger, normalized sessions/services/counters/CDRs, idempotency keys, partitions, indexes, and archive.","Add ingest status, session/CDR query, replay, reconciliation, export, pagination, and audit endpoints.","Add ingest health, duplicates/gaps, session/service timelines, charging, replay, and reconciliation views.","Duplicate/reorder/loss, gigaword, rollover, IPv6, spool crash, replay, scale, HA, and billing tests.","Accounting semantics, data model, replay, reconciliation, retention, export, and recovery guides.","All named behavior for Durable accounting ingest spool and replay passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0041","Charging records, rating, retention, and export integrity","Phase 4 - Accounting","Accounting","3GPP; 3GPP2; Starent; Ericsson; ISP vendors","3GPP; 3GPP2; Starent; Ericsson","RFC 2866","High","NAS-0008;NAS-0037;NAS-0039","XL","Missing","No CDR model, quota correlation, rating hooks, signed exports, billing reconciliation, or regulatory retention.","Implement durable accounting ingestion, normalization, correlation, spooling, replay, and export pipelines.","Decode Start/Interim/Stop/vendor records, repeated values, 64-bit counters, IPv6, routes, and malformed events.","Define idempotency, ordering, late event, quota, charging, retention, privacy, and reconciliation rules.","Add event ledger, normalized sessions/services/counters/CDRs, idempotency keys, partitions, indexes, and archive.","Add ingest status, session/CDR query, replay, reconciliation, export, pagination, and audit endpoints.","Add ingest health, duplicates/gaps, session/service timelines, charging, replay, and reconciliation views.","Duplicate/reorder/loss, gigaword, rollover, IPv6, spool crash, replay, scale, HA, and billing tests.","Accounting semantics, data model, replay, reconciliation, retention, export, and recovery guides.","All named behavior for Charging records, rating, retention, and export integrity passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0042","General outbound DAC client","Phase 5 - CoA / Disconnect","Dynamic Authorization","All","All dynamic authorization dictionaries","RFC 5176","Critical","NAS-0009;NAS-0013","L","Partial","Inbound UDP exists; no general outbound CoA/Disconnect client with per-NAS transport and correlation.","Implement outbound/proxy DAC, durable queues, retries, ownership, capability discovery, and outcome handling.","Encode/decode CoA/Disconnect, Message-Authenticator, Error-Cause, proxy/RadSec paths, vendor actions, and duplicates.","Define allowed transitions, ownership, idempotency, expiry, retry, fallback, rollback, and tenant controls.","Persist requests, correlation, attempts, owners, capabilities, outcomes, errors, and enforcement evidence.","Add preview/send/status/cancel/retry/history/capability APIs with RBAC, tenancy, confirmations, and audit.","Add session action preview, queue, retry, Error-Cause, NAS capability, ownership, and outcome views.","ACK/NAK/error, timeout/retry, duplicate, proxy, reverse TLS, vendor, failover, partition, and rollback tests.","DAC architecture, vendor semantics, queue operations, HA ownership, and troubleshooting.","All named behavior for General outbound DAC client passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0043","Error-Cause, retries, queues, and idempotency","Phase 5 - CoA / Disconnect","Dynamic Authorization","All","Standard; all vendor CoA dictionaries","RFC 5176","Critical","NAS-0042","L","Missing","No Error-Cause model, retry/backoff, durable queue, duplicate suppression, expiry, or dead-letter workflow.","Implement outbound/proxy DAC, durable queues, retries, ownership, capability discovery, and outcome handling.","Encode/decode CoA/Disconnect, Message-Authenticator, Error-Cause, proxy/RadSec paths, vendor actions, and duplicates.","Define allowed transitions, ownership, idempotency, expiry, retry, fallback, rollback, and tenant controls.","Persist requests, correlation, attempts, owners, capabilities, outcomes, errors, and enforcement evidence.","Add preview/send/status/cancel/retry/history/capability APIs with RBAC, tenancy, confirmations, and audit.","Add session action preview, queue, retry, Error-Cause, NAS capability, ownership, and outcome views.","ACK/NAK/error, timeout/retry, duplicate, proxy, reverse TLS, vendor, failover, partition, and rollback tests.","DAC architecture, vendor semantics, queue operations, HA ownership, and troubleshooting.","All named behavior for Error-Cause, retries, queues, and idempotency passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
"NAS-0044","Proxy CoA and RadSec reverse CoA routing","Phase 5 - CoA / Disconnect","Dynamic Authorization","All proxy and roaming vendors","FreeRADIUS; all","RFC 5176;RFC 6614","Critical","NAS-0010;NAS-0014;NAS-0042","XL","Missing","No originating-realm route, reverse tunnel ownership, multi-hop observability, or loop policy.","Implement outbound/proxy DAC, durable queues, retries, ownership, capability discovery, and outcome handling.","Encode/decode CoA/Disconnect, Message-Authenticator, Error-Cause, proxy/RadSec paths, vendor actions, and duplicates.","Define allowed transitions, ownership, idempotency, expiry, retry, fallback, rollback, and tenant controls.","Persist requests, correlation, attempts, owners, capabilities, outcomes, errors, and enforcement evidence.","Add preview/send/status/cancel/retry/history/capability APIs with RBAC, tenancy, confirmations, and audit.","Add session action preview, queue, retry, Error-Cause, NAS capability, ownership, and outcome views.","ACK/NAK/error, timeout/retry, duplicate, proxy, reverse TLS, vendor, failover, partition, and rollback tests.","DAC architecture, vendor semantics, queue operations, HA ownership, and troubleshooting.","All named behavior for Proxy CoA and RadSec reverse CoA routing passes unit, integration, negative, upgrade, rollback, HA, and applicable real-device tests; API/UI expose effective state and evidence; no silent fallback or unsupported claim remains.","Production readiness requires non-placeholder identity, secure secrets, migration and rollback proof, SLOs, capacity limits, HA behavior, signed evidence, exact vendor/product/firmware scope, and zero unresolved Critical defects."
