"Vendor","PEN","VendorFeatures","Implemented","PartiallyImplemented","Missing","CompatibilityPercent","Recommendation"
"Altiga","3076","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","42 of 42 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 42 attributes and certify representative hardware/software."
"ALU-AAA","831","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","64 of 64 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 64 attributes and certify representative hardware/software."
"Alvarion","12394","IP addressing/routing; ISP/broadband/subscriber; Vendor-specific/other","0 end-to-end vendor features proven","None","276 of 276 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 276 attributes and certify representative hardware/software."
"APC","318","Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","14 of 14 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 14 attributes and certify representative hardware/software."
"Aptilo","13209","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","93 of 93 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 93 attributes and certify representative hardware/software."
"Aptis","2637","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","39 of 39 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 39 attributes and certify representative hardware/software."
"Arbor","9694","Authorization/policy","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Arista","30065","ACL/firewall policy; Authentication; Authorization/policy; Captive portal/hotspot/guest; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","3 VSA mapping(s): access.role; enforcement.dynamic_acl; guest.portal_profile","7 of 10 attributes plus their device workflows","15","Promote 3 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 7 attributes by feature family."
"Aruba","14823","802.1X/enterprise Wi-Fi; Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","8 VSA mapping(s): access.role; access.vlan; accounting.identity; device.group; enforcement.acl; guest.portal_profile; posture.device_state","63 of 71 attributes plus their device workflows","5.63","Promote 8 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 63 attributes by feature family."
"Ascend","529","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","249 of 249 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 249 attributes and certify representative hardware/software."
"ASN","23782","ACL/firewall policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; Vendor-specific/other","0 end-to-end vendor features proven","None","18 of 18 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 18 attributes and certify representative hardware/software."
"AudioCodes","5003","ACL/firewall policy","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Azaire","7751","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Mobile/core/charging; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","16 of 16 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 16 attributes and certify representative hardware/software."
"Bay-Networks","1584","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","72 of 72 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 72 attributes and certify representative hardware/software."
"Big-Switch-Networks","37538","Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"BinTec","272","Bandwidth/QoS; IP addressing/routing; Mobile/core/charging; Vendor-specific/other","0 end-to-end vendor features proven","None","17 of 17 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 17 attributes and certify representative hardware/software."
"BlueCoat","14501","Dynamic authorization","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"Boingo","22472","Authentication; Authorization/policy; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","29 of 29 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 29 attributes and certify representative hardware/software."
"Bristol","4363","Authorization/policy; Bandwidth/QoS; Vendor-specific/other","0 end-to-end vendor features proven","None","5 of 5 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 5 attributes and certify representative hardware/software."
"BroadSoft","6431","Accounting/session; Authentication; Authorization/policy; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","254 of 254 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 254 attributes and certify representative hardware/software."
"Brocade","1588","Authentication; Bandwidth/QoS; Vendor-specific/other","0 end-to-end vendor features proven","None","7 of 7 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 7 attributes and certify representative hardware/software."
"BSkyB","16924","802.1X/enterprise Wi-Fi; Accounting/session; Mobile/core/charging","0 end-to-end vendor features proven","None","8 of 8 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 8 attributes and certify representative hardware/software."
"BT","594","Authentication","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"CableLabs","4491","ISP/broadband/subscriber","0 end-to-end vendor features proven","None","61 of 61 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 61 attributes and certify representative hardware/software."
"Cabletron","52","ISP/broadband/subscriber","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"Cajun_p330","2167","Authorization/policy; Bandwidth/QoS; Vendor-specific/other","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Calix","6321","Authorization/policy; Mobile/core/charging","0 end-to-end vendor features proven","None","5 of 5 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 5 attributes and certify representative hardware/software."
"Cambium","17713","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; NAS/device management; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","7 VSA mapping(s): access.quarantine; access.role; access.vlan; accounting.counters; qos.download_bandwidth; qos.upload_bandwidth","24 of 31 attributes plus their device workflows","11.29","Promote 7 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 24 attributes by feature family."
"Camiant","21274","Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Centec","27975","Authorization/policy","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"CheckPoint","2620","Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"ChilliSpot","14559","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; ISP/broadband/subscriber; Vendor-specific/other","0 end-to-end vendor features proven","5 VSA mapping(s): access.policy_tag; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth; session.max_total_octets","7 of 12 attributes plus their device workflows","20.83","Promote 5 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 7 attributes by feature family."
"Ciena","1271","Authorization/policy; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","9 of 9 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 9 attributes and certify representative hardware/software."
"Cisco","9","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","3 VSA mapping(s): enforcement.acl; enforcement.dynamic_acl","107 of 110 attributes plus their device workflows","1.36","Promote 3 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 107 attributes by feature family."
"Cisco-ASA","3076","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","149 of 149 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 149 attributes and certify representative hardware/software."
"Cisco-BBSM","5263","Bandwidth/QoS","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Cisco-VPN3000","3076","Accounting/session; ACL/firewall policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; Security/VPN/posture","0 end-to-end vendor features proven","None","116 of 116 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 116 attributes and certify representative hardware/software."
"Cisco-VPN5000","255","Security/VPN/posture","0 end-to-end vendor features proven","None","7 of 7 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 7 attributes and certify representative hardware/software."
"Citrix","66","Authorization/policy; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","7 of 7 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 7 attributes and certify representative hardware/software."
"Ckey","61349","Authentication","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Clavister","5089","Authorization/policy","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Cnergee","49426","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Vendor-specific/other","0 end-to-end vendor features proven","None","31 of 31 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 31 attributes and certify representative hardware/software."
"Colubris","8744","Authorization/policy","0 end-to-end vendor features proven","1 VSA mapping(s): access.quarantine","0 of 1 attributes plus their device workflows","50","Promote 1 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 0 attributes by feature family."
"Columbia-University","11862","Voice/telephony","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Compatible","255","Authentication; Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","6 of 6 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 6 attributes and certify representative hardware/software."
"Cosine","3085","IP addressing/routing; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","8 of 8 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 8 attributes and certify representative hardware/software."
"Covaro","18022","Accounting/session; Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","6 of 6 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 6 attributes and certify representative hardware/software."
"DANTE","27262","Vendor-specific/other","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"DellEMC","674","Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"DHCP","54","802.1X/enterprise Wi-Fi; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","225 of 225 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 225 attributes and certify representative hardware/software."
"Digium","22736","Accounting/session; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","18 of 18 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 18 attributes and certify representative hardware/software."
"Dlink","171","802.1X/enterprise Wi-Fi; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; Vendor-specific/other","0 end-to-end vendor features proven","6 VSA mapping(s): access.role; access.vlan; enforcement.acl; enforcement.dynamic_acl; qos.download_bandwidth; qos.upload_bandwidth","3 of 9 attributes plus their device workflows","33.33","Promote 6 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 3 attributes by feature family."
"DragonWave","7262","Authorization/policy","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"EfficientIP","2440","Authentication; Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","13 of 13 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 13 attributes and certify representative hardware/software."
"Eleven","52970","802.1X/enterprise Wi-Fi; Authentication","0 end-to-end vendor features proven","None","6 of 6 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 6 attributes and certify representative hardware/software."
"Eltex","35265","Mobile/core/charging","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"Epygi","16459","Accounting/session; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; NAS/device management; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","67 of 67 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 67 attributes and certify representative hardware/software."
"Equallogic","12740","Authorization/policy; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","9 of 9 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 9 attributes and certify representative hardware/software."
"Ericsson","193","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; Tenant/location; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","110 of 110 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 110 attributes and certify representative hardware/software."
"Ericsson-AB","2352","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","211 of 211 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 211 attributes and certify representative hardware/software."
"Ericsson-Packet-Core-Networks","10923","ACL/firewall policy","0 end-to-end vendor features proven","None","2 of 2 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 2 attributes and certify representative hardware/software."
"ERX","4874","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","206 of 206 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 206 attributes and certify representative hardware/software."
"Extreme","1916","802.1X/enterprise Wi-Fi; Authentication; Authorization/policy; Captive portal/hotspot/guest; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","5 VSA mapping(s): access.role; access.vlan; guest.portal_profile","10 of 15 attributes plus their device workflows","16.67","Promote 5 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 10 attributes by feature family."
"F5","3375","Authorization/policy; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","10 of 10 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 10 attributes and certify representative hardware/software."
"fdXtended","34536","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; Vendor-specific/other","0 end-to-end vendor features proven","None","11 of 11 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 11 attributes and certify representative hardware/software."
"Force10","6027","Vendor-specific/other","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"Fortinet","12356","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; IP addressing/routing; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","5 VSA mapping(s): access.policy_tag; access.role; accounting.identity; device.group; governance.tenant","27 of 32 attributes plus their device workflows","7.81","Promote 5 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 27 attributes by feature family."
"Foundry","1991","802.1X/enterprise Wi-Fi; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; Dynamic authorization; NAS/device management; Voice/telephony","0 end-to-end vendor features proven","None","13 of 13 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 13 attributes and certify representative hardware/software."
"FreeDHCP","34673","ISP/broadband/subscriber; Mobile/core/charging","0 end-to-end vendor features proven","None","131 of 131 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 131 attributes and certify representative hardware/software."
"FreeRADIUS","11344","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Bandwidth/QoS; IP addressing/routing; NAS/device management; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","145 of 145 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 145 attributes and certify representative hardware/software."
"Freeswitch","27880","Accounting/session; NAS/device management; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","23 of 23 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 23 attributes and certify representative hardware/software."
"Gandalf","64","Authentication; Authorization/policy; IP addressing/routing; ISP/broadband/subscriber; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","32 of 32 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 32 attributes and certify representative hardware/software."
"Garderos","16108","Authorization/policy; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","4 of 4 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 4 attributes and certify representative hardware/software."
"Gemtek","10529","Accounting/session","0 end-to-end vendor features proven","None","6 of 6 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 6 attributes and certify representative hardware/software."
"H3C","25506","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","7 VSA mapping(s): access.policy_tag; access.role; device.group; enforcement.dynamic_acl; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth","55 of 62 attributes plus their device workflows","5.65","Promote 7 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 55 attributes by feature family."
"Hillstone","28557","Authentication; Authorization/policy; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","17 of 17 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 17 attributes and certify representative hardware/software."
"HP","11","802.1X/enterprise Wi-Fi; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","9 VSA mapping(s): access.policy_tag; access.role; access.vlan; enforcement.dynamic_acl; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth","23 of 32 attributes plus their device workflows","14.06","Promote 9 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 23 attributes by feature family."
"Huawei","2011","802.1X/enterprise Wi-Fi; Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","11 VSA mapping(s): access.bandwidth_profile; access.role; enforcement.acl; enforcement.dynamic_acl; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth","186 of 197 attributes plus their device workflows","2.79","Promote 11 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 186 attributes by feature family."
"IEA-Software","24023","Bandwidth/QoS; Dynamic authorization; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","12 of 12 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 12 attributes and certify representative hardware/software."
"Infinera","8708","Accounting/session; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","22 of 22 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 22 attributes and certify representative hardware/software."
"Infoblox","7779","Authorization/policy; Vendor-specific/other","0 end-to-end vendor features proven","None","9 of 9 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 9 attributes and certify representative hardware/software."
"infonet","4453","Authentication; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","17 of 17 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 17 attributes and certify representative hardware/software."
