"Vendor","PEN","AuditedCapabilityFamilies","CurrentCompatibilityPercent","CurrentStatus","ImplementationWave","ParentFeatureIDs","RequiredProductionEvidence","Source"
"Airespace","14179","ACL/firewall policy; Authorization/policy; Bandwidth/QoS; NAS/device management; Vendor-specific/other","16.67","Partial: 5 VSA mapping(s): access.role; device.group; enforcement.acl; qos.download_bandwidth; qos.upload_bandwidth","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Alcatel","3041","Accounting/session; Authentication; Bandwidth/QoS; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B2 - Nokia/Alcatel service routing","NAS-0069;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Alcatel-ESAM","637","Bandwidth/QoS; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B2 - Nokia/Alcatel service routing","NAS-0069;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Alcatel-Lucent-Service-Router","6527","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B2 - Nokia/Alcatel service routing","NAS-0069;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Alphion","8742","802.1X/enterprise Wi-Fi; ACL/firewall policy; Authentication; Authorization/policy; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Alteon","1872","Mobile/core/charging","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Altiga","3076","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E1 - Cisco enterprise/VPN","NAS-0061;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"ALU-AAA","831","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","B2 - Nokia/Alcatel service routing","NAS-0069;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Alvarion","12394","IP addressing/routing; ISP/broadband/subscriber; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"APC","318","Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Aptilo","13209","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Aptis","2637","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Arbor","9694","Authorization/policy","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Arista","30065","ACL/firewall policy; Authentication; Authorization/policy; Captive portal/hotspot/guest; NAS/device management; Vendor-specific/other","15","Partial: 3 VSA mapping(s): access.role; enforcement.dynamic_acl; guest.portal_profile","E8 - Enterprise switching","NAS-0071;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Aruba","14823","802.1X/enterprise Wi-Fi; Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","5.63","Partial: 8 VSA mapping(s): access.role; access.vlan; accounting.identity; device.group; enforcement.acl; guest.portal_profile; posture.device_state","E2 - Aruba/HPE access","NAS-0062;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Ascend","529","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"ASN","23782","ACL/firewall policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"AudioCodes","5003","ACL/firewall policy","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Azaire","7751","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Mobile/core/charging; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Bay-Networks","1584","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Big-Switch-Networks","37538","Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"BinTec","272","Bandwidth/QoS; IP addressing/routing; Mobile/core/charging; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"BlueCoat","14501","Dynamic authorization","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Boingo","22472","Authentication; Authorization/policy; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Bristol","4363","Authorization/policy; Bandwidth/QoS; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"BroadSoft","6431","Accounting/session; Authentication; Authorization/policy; Captive portal/hotspot/guest; IP addressing/routing; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Brocade","1588","Authentication; Bandwidth/QoS; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E8 - Enterprise switching","NAS-0071;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"BSkyB","16924","802.1X/enterprise Wi-Fi; Accounting/session; Mobile/core/charging","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"BT","594","Authentication","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"CableLabs","4491","ISP/broadband/subscriber","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Cabletron","52","ISP/broadband/subscriber","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Cajun_p330","2167","Authorization/policy; Bandwidth/QoS; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Calix","6321","Authorization/policy; Mobile/core/charging","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Cambium","17713","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; NAS/device management; Vendor-specific/other; Voice/telephony","11.29","Partial: 7 VSA mapping(s): access.quarantine; access.role; access.vlan; accounting.counters; qos.download_bandwidth; qos.upload_bandwidth","E7 - SMB/branch access","NAS-0067;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Camiant","21274","Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Centec","27975","Authorization/policy","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"CheckPoint","2620","Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E5 - Security gateways","NAS-0065;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"ChilliSpot","14559","Accounting/session; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; ISP/broadband/subscriber; Vendor-specific/other","20.83","Partial: 5 VSA mapping(s): access.policy_tag; guest.portal_profile; qos.download_bandwidth; qos.upload_bandwidth; session.max_total_octets","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Ciena","1271","Authorization/policy; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Cisco","9","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Vendor-specific/other; Voice/telephony","1.36","Partial: 3 VSA mapping(s): enforcement.acl; enforcement.dynamic_acl","E1 - Cisco enterprise/VPN","NAS-0061;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Cisco-ASA","3076","Accounting/session; ACL/firewall policy; Authentication; Authorization/policy; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E1 - Cisco enterprise/VPN","NAS-0061;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Cisco-BBSM","5263","Bandwidth/QoS","0","Missing: no end-to-end vendor feature proven","E1 - Cisco enterprise/VPN","NAS-0061;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Cisco-VPN3000","3076","Accounting/session; ACL/firewall policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; Security/VPN/posture","0","Missing: no end-to-end vendor feature proven","E1 - Cisco enterprise/VPN","NAS-0061;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Cisco-VPN5000","255","Security/VPN/posture","0","Missing: no end-to-end vendor feature proven","E1 - Cisco enterprise/VPN","NAS-0061;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Citrix","66","Authorization/policy; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Ckey","61349","Authentication","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Clavister","5089","Authorization/policy","0","Missing: no end-to-end vendor feature proven","E5 - Security gateways","NAS-0065;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Cnergee","49426","Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Colubris","8744","Authorization/policy","50","Partial: 1 VSA mapping(s): access.quarantine","E2 - Aruba/HPE access","NAS-0062;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Columbia-University","11862","Voice/telephony","0","Missing: no end-to-end vendor feature proven","T3 - Voice/VPN workflows","NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Compatible","255","Authentication; Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Cosine","3085","IP addressing/routing; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Covaro","18022","Accounting/session; Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"DANTE","27262","Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"DellEMC","674","Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E8 - Enterprise switching","NAS-0071;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"DHCP","54","802.1X/enterprise Wi-Fi; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Digium","22736","Accounting/session; NAS/device management; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Dlink","171","802.1X/enterprise Wi-Fi; ACL/firewall policy; Authorization/policy; Bandwidth/QoS; Vendor-specific/other","33.33","Partial: 6 VSA mapping(s): access.role; access.vlan; enforcement.acl; enforcement.dynamic_acl; qos.download_bandwidth; qos.upload_bandwidth","E7 - SMB/branch access","NAS-0067;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"DragonWave","7262","Authorization/policy","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"EfficientIP","2440","Authentication; Authorization/policy; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Eleven","52970","802.1X/enterprise Wi-Fi; Authentication","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Eltex","35265","Mobile/core/charging","0","Missing: no end-to-end vendor feature proven","T2 - Telecom long tail","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Epygi","16459","Accounting/session; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; NAS/device management; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T3 - Voice/VPN workflows","NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
