"Sequence","FeatureID","FeatureName","CapabilityPhase","Priority","Dependencies","EstimatedComplexity"
"42","NAS-0051","Hierarchical QoS and scheduler model","Phase 6 - Policy Engine and Enforcement","High","NAS-0029","XL"
"43","NAS-0072","Long-tail typed namespace program","Phase 7 - Vendor Compatibility","High","NAS-0002;NAS-0003;NAS-0004;NAS-0005","XL"
"44","NAS-0088","L2TP and wholesale realm separation","Phase 9 - ISP / BNG Features","High","NAS-0010;NAS-0082","XL"
"45","NAS-0102","Multi-node cluster membership and quorum","Phase 11 - High Availability","High","NAS-0099","XL"
"46","NAS-0107","SLO, SLI, error-budget, and alert policy","Phase 12 - Monitoring and Reporting","High","NAS-0106","L"
"47","NAS-0108","Per-attribute metrics with cardinality control","Phase 12 - Monitoring and Reporting","High","NAS-0002;NAS-0004","L"
"48","NAS-0109","Long-term analytics and event warehouse","Phase 12 - Monitoring and Reporting","High","NAS-0008;NAS-0035;NAS-0106","XL"
"49","NAS-0115","FIPS and cryptographic policy profiles","Phase 13 - Security","High","NAS-0007;NAS-0112","XL"
"50","NAS-0024","EAP-FAST and EAP-PWD","Phase 2 - Authentication","Medium","NAS-0022","L"
"51","NAS-0034","Hard tenant isolation and delegated policy trees","Phase 3 - Authorization","Critical","NAS-0008;NAS-0029;NAS-0030","XL"
"52","NAS-0037","64-bit counters and gigaword rollover","Phase 4 - Accounting","Critical","NAS-0035;NAS-0036","M"
"53","NAS-0040","Durable accounting ingest spool and replay","Phase 4 - Accounting","Critical","NAS-0035;NAS-0036","L"
"54","NAS-0043","Error-Cause, retries, queues, and idempotency","Phase 5 - CoA / Disconnect","Critical","NAS-0042","L"
"55","NAS-0044","Proxy CoA and RadSec reverse CoA routing","Phase 5 - CoA / Disconnect","Critical","NAS-0010;NAS-0014;NAS-0042","XL"
"56","NAS-0046","NAS capability and session ownership registry","Phase 5 - CoA / Disconnect","Critical","NAS-0013;NAS-0042","L"
"57","NAS-0060","Certify all 141 current partial mappings","Phase 7 - Vendor Compatibility","Critical","NAS-0002;NAS-0004;NAS-0121","XL"
"58","NAS-0104","Rolling schema and mixed-version quorum","Phase 11 - High Availability","Critical","NAS-0008;NAS-0099;NAS-0102","XL"
"59","NAS-0113","Automated credential, CA, and token rotation","Phase 13 - Security","Critical","NAS-0027;NAS-0112","L"
"60","NAS-0117","Independent security audit, fuzz review, and penetration test","Phase 13 - Security","Critical","NAS-0122;NAS-0115","XL"
"61","NAS-0123","FreeRADIUS version and transport interoperability lab","Phase 14 - Certification","Critical","NAS-0003;NAS-0014;NAS-0121","L"
"62","NAS-0021","WebAuthn/passkey administrative MFA","Phase 2 - Authentication","High","NAS-0020","L"
"63","NAS-0023","TEAP and EAP method chaining","Phase 2 - Authentication","High","NAS-0018;NAS-0020;NAS-0022","XL"
"64","NAS-0028","Password lifecycle and supplicant profile delivery","Phase 2 - Authentication","High","NAS-0018;NAS-0022;NAS-0027","L"
"65","NAS-0031","Policy simulation, conflict, and shadow analysis","Phase 3 - Authorization","High","NAS-0029;NAS-0030","L"
"66","NAS-0038","IPv6, route, and delegated-prefix accounting","Phase 4 - Accounting","High","NAS-0035;NAS-0036","L"
"67","NAS-0039","Multi-service session correlation","Phase 4 - Accounting","High","NAS-0032;NAS-0036","XL"
"68","NAS-0045","Vendor dynamic-action compiler","Phase 5 - CoA / Disconnect","High","NAS-0002;NAS-0042","XL"
"69","NAS-0119","Protocol rate limits, abuse controls, and DDoS resilience","Phase 13 - Security","High","NAS-0009;NAS-0107","L"
"70","NAS-0047","HA-aware CoA cluster handoff","Phase 5 - CoA / Disconnect","Critical","NAS-0045;NAS-0099","XL"
"71","NAS-0055","Per-session route injection and VRF ownership","Phase 6 - Policy Engine and Enforcement","Critical","NAS-0038;NAS-0045","XL"
"72","NAS-0061","Cisco enterprise, VPN, wireless, and mobile-core pack","Phase 7 - Vendor Compatibility","Critical","NAS-0044;NAS-0048;NAS-0060","XL"
"73","NAS-0083","Broadband subscriber state machine","Phase 9 - ISP / BNG Features","Critical","NAS-0032;NAS-0039;NAS-0082","XL"
"74","NAS-0093","Mobile session, APN/PDP/bearer state","Phase 10 - Mobile / Telecom Features","Critical","NAS-0092;NAS-0039","XL"
"75","NAS-0100","Synchronous session and accounting replication","Phase 11 - High Availability","Critical","NAS-0036;NAS-0040;NAS-0099","XL"
"76","NAS-0114","Administrative MFA and break-glass governance","Phase 13 - Security","Critical","NAS-0021;NAS-0034","L"
"77","NAS-0118","Data-at-rest, tenant, privacy, and residency controls","Phase 13 - Security","Critical","NAS-0008;NAS-0034;NAS-0112","XL"
"78","NAS-0026","Machine and user authentication correlation","Phase 2 - Authentication","High","NAS-0018;NAS-0023","L"
"79","NAS-0041","Charging records, rating, retention, and export integrity","Phase 4 - Accounting","High","NAS-0008;NAS-0037;NAS-0039","XL"
"80","NAS-0077","DPSK and PPSK lifecycle","Phase 8 - Enterprise Wi-Fi","High","NAS-0027;NAS-0034","L"
"81","NAS-0049","Certified per-vendor ACL compilers and decompilers","Phase 6 - Policy Engine and Enforcement","Critical","NAS-0047;NAS-0060","XL"
"82","NAS-0086","Subscriber address pools and lease lifecycle","Phase 9 - ISP / BNG Features","Critical","NAS-0055;NAS-0083","XL"
"83","NAS-0094","Online/offline charging correlation","Phase 10 - Mobile / Telecom Features","Critical","NAS-0041;NAS-0093","XL"
"84","NAS-0127","Performance, scale, and resource-tier benchmarks","Phase 14 - Certification","Critical","NAS-0012;NAS-0107;NAS-0118","XL"
"85","NAS-0050","Stateful per-session local firewall policy","Phase 6 - Policy Engine and Enforcement","High","NAS-0047;NAS-0048","L"
"86","NAS-0057","CGNAT, NAT64, and deterministic subscriber translation","Phase 6 - Policy Engine and Enforcement","High","NAS-0055;NAS-0083","XL"
"87","NAS-0084","Plans, products, service bundles, and concurrent sessions","Phase 9 - ISP / BNG Features","High","NAS-0029;NAS-0083","XL"
"88","NAS-0089","DHCP relay, snooping, Option 82, and IP source guard","Phase 9 - ISP / BNG Features","High","NAS-0055;NAS-0083","L"
"89","NAS-0091","Lawful-intercept governance and subscriber self-service","Phase 9 - ISP / BNG Features","High","NAS-0034;NAS-0041;NAS-0083","XL"
"90","NAS-0098","Voice, telephony, VPN, and call-detail workflows","Phase 10 - Mobile / Telecom Features","High","NAS-0039;NAS-0041","XL"
"91","NAS-0097","Cable and DOCSIS policy/charging","Phase 10 - Mobile / Telecom Features","Medium","NAS-0092;NAS-0041","XL"
"92","NAS-0068","Huawei, H3C, and ZTE broadband pack","Phase 7 - Vendor Compatibility","Critical","NAS-0032;NAS-0049;NAS-0082","XL"
"93","NAS-0081","Controller CWA and safe per-session portal","Phase 8 - Enterprise Wi-Fi","Critical","NAS-0042;NAS-0048;NAS-0084","XL"
"94","NAS-0087","BNG hierarchical QoS and service flows","Phase 9 - ISP / BNG Features","Critical","NAS-0049;NAS-0083","XL"
"95","NAS-0101","Distributed CoA and enforcement ownership","Phase 11 - High Availability","Critical","NAS-0046;NAS-0057;NAS-0100","XL"
"96","NAS-0052","Dual-stack shaping and vendor unit-safe rate compiler","Phase 6 - Policy Engine and Enforcement","High","NAS-0049","L"
"97","NAS-0070","MikroTik RouterOS, PPP, hotspot, and CAPsMAN pack","Phase 7 - Vendor Compatibility","High","NAS-0049;NAS-0055;NAS-0082","XL"
"98","NAS-0076","Passpoint and Hotspot 2.0","Phase 8 - Enterprise Wi-Fi","High","NAS-0025;NAS-0084","XL"
"99","NAS-0085","Quota, balance, top-up, prepaid, and postpaid","Phase 9 - ISP / BNG Features","High","NAS-0041;NAS-0084","XL"
"100","NAS-0095","PCRF/PCF-style policy, QoS, and roaming","Phase 10 - Mobile / Telecom Features","High","NAS-0029;NAS-0049;NAS-0093","XL"
"101","NAS-0096","WiMAX subscriber and service-flow support","Phase 10 - Mobile / Telecom Features","Medium","NAS-0092;NAS-0094","XL"
"102","NAS-0074","Complete hostapd dynamic VLAN lifecycle","Phase 8 - Enterprise Wi-Fi","Critical","NAS-0052;NAS-0053","L"
"103","NAS-0054","Tagged voice/data VLAN, QinQ, pool, and fallback policy","Phase 6 - Policy Engine and Enforcement","High","NAS-0052","XL"
"104","NAS-0103","Automatic conflict resolution and idempotent failover","Phase 11 - High Availability","High","NAS-0100;NAS-0101;NAS-0102","XL"
"105","NAS-0120","Secure captive portal, consent, and identity privacy","Phase 13 - Security","High","NAS-0081;NAS-0117","L"
"106","NAS-0126","Mobile, WiMAX, cable, voice, and charging lab","Phase 14 - Certification","High","NAS-0092..NAS-0098","XL"
"107","NAS-0071","Dell, Brocade, Arista, Extreme, and 3Com switching pack","Phase 7 - Vendor Compatibility","Medium","NAS-0033;NAS-0048;NAS-0052","XL"
"108","NAS-0056","IPv4/IPv6 pools, DHCPv6, RA, and prefix delegation","Phase 6 - Policy Engine and Enforcement","Critical","NAS-0008;NAS-0054","XL"
"109","NAS-0058","Atomic enforcement transactions and drift rollback","Phase 6 - Policy Engine and Enforcement","Critical","NAS-0048;NAS-0050;NAS-0052;NAS-0054","XL"
"110","NAS-0062","Aruba, HP, Colubris, and Aerohive pack","Phase 7 - Vendor Compatibility","Critical","NAS-0048;NAS-0052;NAS-0074","XL"
"111","NAS-0063","Juniper, ERX, Extreme, and Mist pack","Phase 7 - Vendor Compatibility","Critical","NAS-0032;NAS-0054;NAS-0082","XL"
"112","NAS-0069","Nokia and Alcatel-Lucent service-router pack","Phase 7 - Vendor Compatibility","Critical","NAS-0032;NAS-0054;NAS-0082","XL"
"113","NAS-0105","Network partition, fencing, geo-DR, and recovery orchestration","Phase 11 - High Availability","Critical","NAS-0102;NAS-0103;NAS-0104","XL"
"114","NAS-0064","Ruckus and ICX pack","Phase 7 - Vendor Compatibility","High","NAS-0048;NAS-0074","XL"
"115","NAS-0065","Fortinet and Palo Alto security pack","Phase 7 - Vendor Compatibility","High","NAS-0048;NAS-0044;NAS-0120","XL"
"116","NAS-0066","Meraki, UniFi, and OpenWiFi cloud pack","Phase 7 - Vendor Compatibility","High","NAS-0003;NAS-0074","XL"
"117","NAS-0067","Cambium, TP-Link, and D-Link access pack","Phase 7 - Vendor Compatibility","High","NAS-0048;NAS-0074","L"
"118","NAS-0075","802.11r/k/v roaming and key lifecycle","Phase 8 - Enterprise Wi-Fi","High","NAS-0022;NAS-0074","XL"
"119","NAS-0059","Dynamic routing integration for subscriber routes","Phase 6 - Policy Engine and Enforcement","Medium","NAS-0054;NAS-0057","XL"
"120","NAS-0124","Enterprise access hardware/controller matrix","Phase 14 - Certification","Critical","NAS-0061..NAS-0073;NAS-0121","XL"
"121","NAS-0128","HA partition, failover, upgrade, rollback, and 30-day soak","Phase 14 - Certification","Critical","NAS-0101..NAS-0105;NAS-0127","XL"
"122","NAS-0078","Controller estate and object lifecycle","Phase 8 - Enterprise Wi-Fi","High","NAS-0013;NAS-0057;NAS-0061..NAS-0070","XL"
"123","NAS-0090","Service activation, BNG route lifecycle, and multicast","Phase 9 - ISP / BNG Features","High","NAS-0054;NAS-0058;NAS-0083","XL"
"124","NAS-0133","Installer, migration, rolling update, and downgrade safety","Phase 15 - Release Readiness","Critical","NAS-0001;NAS-0003;NAS-0104;NAS-0128","XL"
"125","NAS-0134","Backup, restore, geo-DR, and recovery objectives","Phase 15 - Release Readiness","Critical","NAS-0105;NAS-0128","L"
"126","NAS-0125","Broadband and BNG certification lab","Phase 14 - Certification","High","NAS-0068..NAS-0070;NAS-0082..NAS-0091","XL"
"127","NAS-0129","API, controller, MDM, SSO, SIEM, and CA contract certification","Phase 14 - Certification","High","NAS-0019;NAS-0078;NAS-0119","L"
"128","NAS-0079","RF, RRM, mesh, and radio planning","Phase 8 - Enterprise Wi-Fi","Medium","NAS-0078","XL"
"129","NAS-0110","Topology, dependency, and capacity forecasting","Phase 12 - Monitoring and Reporting","Medium","NAS-0013;NAS-0078;NAS-0106;NAS-0109","L"
"130","NAS-0130","Published support and end-of-life policy","Phase 15 - Release Readiness","Critical","NAS-0123..NAS-0129","M"
"131","NAS-0131","Exact compatibility catalog and evidence publication","Phase 15 - Release Readiness","Critical","NAS-0004;NAS-0060;NAS-0121..NAS-0126","L"
"132","NAS-0132","Automated production release gates","Phase 15 - Release Readiness","Critical","NAS-0107;NAS-0115;NAS-0121..NAS-0129","L"
"133","NAS-0080","Rogue/WIPS, spectrum, location, and multicast","Phase 8 - Enterprise Wi-Fi","Medium","NAS-0078;NAS-0079","XL"
"134","NAS-0111","Certified dashboards, charge reports, and executive exports","Phase 12 - Monitoring and Reporting","Medium","NAS-0041;NAS-0107;NAS-0108;NAS-0109;NAS-0110","L"
"135","NAS-0135","Product scope, not-applicable governance, and claim control","Phase 15 - Release Readiness","Critical","NAS-0003;NAS-0004;NAS-0131","M"
