Vendor,PEN,Attribute,Number,OID,Type,EnumeratedValues,CapabilityFamily,Status,Pack,Semantic,Direction,Functionality
3GPP,10415,3GPP-Allocate-IP-Type,27,,byte,4,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Allocate-IP-Type."
3GPP2,5535,3GPP2-Allowed-Diffserv-Marking-Allowed,,73.1,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Allowed-Diffserv-Marking-Allowed."
3GPP2,5535,3GPP2-Allowed-Diffserv-Marking-Max-Class,,73.2,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Allowed-Diffserv-Marking-Max-Class."
3GPP2,5535,3GPP2-Allowed-Diffserv-Marking-Reverse-Runnel,,73.3,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Allowed-Diffserv-Marking-Reverse-Runnel."
3GPP2,5535,3GPP2-AT-Hardware-Identifier-Type,,61.1,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-AT-Hardware-Identifier-Type."
3GPP2,5535,3GPP2-AT-Hardware-Identifier-Value,,61.2,octets,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-AT-Hardware-Identifier-Value."
3GPP2,5535,3GPP2-Auth-Flow-Profile-ID-Bi-Direction,,131.3,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Auth-Flow-Profile-ID-Bi-Direction."
3GPP2,5535,3GPP2-Auth-Flow-Profile-ID-Forward,,131.1,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Auth-Flow-Profile-ID-Forward."
3GPP2,5535,3GPP2-Auth-Flow-Profile-ID-Reverse,,131.2,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Auth-Flow-Profile-ID-Reverse."
3GPP2,5535,3GPP2-DNS-Server-Entity-Type,,117.4,byte,2,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-DNS-Server-Entity-Type."
3GPP2,5535,3GPP2-DNS-Server-Flag,,117.3,byte,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-DNS-Server-Flag."
3GPP2,5535,3GPP2-DNS-Server-IPv6-Address-Entity-Type,,214.4,byte,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-DNS-Server-IPv6-Address-Entity-Type."
3GPP2,5535,3GPP2-DNS-Server-IPv6-Address-Flag,,214.3,byte,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-DNS-Server-IPv6-Address-Flag."
3GPP2,5535,3GPP2-DNS-Server-IPv6-Address-Primary,,214.1,ipv6addr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-DNS-Server-IPv6-Address-Primary."
3GPP2,5535,3GPP2-DNS-Server-IPv6-Address-Secondary,,214.2,ipv6addr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-DNS-Server-IPv6-Address-Secondary."
3GPP2,5535,3GPP2-DNS-Server-Primary-IP-Address,,117.1,ipaddr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-DNS-Server-Primary-IP-Address."
3GPP2,5535,3GPP2-DNS-Server-Secondary-IP-Address,,117.2,ipaddr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-DNS-Server-Secondary-IP-Address."
3GPP2,5535,3GPP2-Flow-ID-Direction,,144.1,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Flow-ID-Direction."
3GPP2,5535,3GPP2-Flow-ID-Flow-ID,,144.2,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Flow-ID-Flow-ID."
3GPP2,5535,3GPP2-Granted-QoS-Params-Bucket-Size,,132.7,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Bucket-Size."
3GPP2,5535,3GPP2-Granted-QoS-Params-Delay-Var-Sensitive,,132.12,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Delay-Var-Sensitive."
3GPP2,5535,3GPP2-Granted-QoS-Params-Direction,,132.1,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Direction."
3GPP2,5535,3GPP2-Granted-QoS-Params-Flow-Id,,132.2,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Flow-Id."
3GPP2,5535,3GPP2-Granted-QoS-Params-Flow-Profile-ID,,132.4,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Flow-Profile-ID."
3GPP2,5535,3GPP2-Granted-QoS-Params-Max-IP-Packet-Loss-Rate,,132.1,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Max-IP-Packet-Loss-Rate."
3GPP2,5535,3GPP2-Granted-QoS-Params-Max-Latency,,132.9,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Max-Latency."
3GPP2,5535,3GPP2-Granted-QoS-Params-Packet-Size,,132.11,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Packet-Size."
3GPP2,5535,3GPP2-Granted-QoS-Params-Peak-Rate,,132.6,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Peak-Rate."
3GPP2,5535,3GPP2-Granted-QoS-Params-Token-Rate,,132.8,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Token-Rate."
3GPP2,5535,3GPP2-Granted-QoS-Params-Traffic-Class,,132.5,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Granted-QoS-Params-Traffic-Class."
3GPP2,5535,3GPP2-Prepaid-Acct-Quota-QuotaIDentifier,,90.1,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Acct-Quota-QuotaIDentifier."
3GPP2,5535,3GPP2-Prepaid-Acct-Quota-UpdateReason,,90.8,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Acct-Quota-UpdateReason."
3GPP2,5535,3GPP2-Prepaid-Acct-Quota-VolumeQuota,,90.2,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Acct-Quota-VolumeQuota."
3GPP2,5535,3GPP2-Prepaid-Acct-Quota-VolumeQuotaOverflow,,90.3,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Acct-Quota-VolumeQuotaOverflow."
3GPP2,5535,3GPP2-Prepaid-Acct-Quota-VolumeThreshold,,90.4,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Acct-Quota-VolumeThreshold."
3GPP2,5535,3GPP2-Prepaid-Acct-Quota-VolumeThresholdOverflow,,90.5,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Acct-Quota-VolumeThresholdOverflow."
3GPP2,5535,3GPP2-Prepaid-Quota-Identifier,,98.1,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Quota-Identifier."
3GPP2,5535,3GPP2-Prepaid-Tariff-Switch-Interval,,98.4,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Tariff-Switch-Interval."
3GPP2,5535,3GPP2-Prepaid-Time-Interval-After-Tariff-Switch-Update,,98.5,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Time-Interval-After-Tariff-Switch-Update."
3GPP2,5535,3GPP2-Prepaid-Volume-Used-After-Tariff-Switch,,98.2,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Volume-Used-After-Tariff-Switch."
3GPP2,5535,3GPP2-Prepaid-Volume-Used-ATS-Overflow,,98.3,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Prepaid-Volume-Used-ATS-Overflow."
3GPP2,5535,3GPP2-Remote-Address-Table-Index-Qualifier,,71.2,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-Address-Table-Index-Qualifier."
3GPP2,5535,3GPP2-Remote-Address-Table-Index-Value,,71.1,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-Address-Table-Index-Value."
3GPP2,5535,3GPP2-Remote-IP-Address-Mask,,59.2,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IP-Address-Mask."
3GPP2,5535,3GPP2-Remote-IP-Address-Value,,59.1,ipaddr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IP-Address-Value."
3GPP2,5535,3GPP2-Remote-IP-Qualifier,,59.3,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IP-Qualifier."
3GPP2,5535,3GPP2-Remote-IPv4-Addr-Octet-Count-Address,,72.1,ipaddr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv4-Addr-Octet-Count-Address."
3GPP2,5535,3GPP2-Remote-IPv4-Addr-Octet-Count-Forward,,72.3,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv4-Addr-Octet-Count-Forward."
3GPP2,5535,3GPP2-Remote-IPv4-Addr-Octet-Count-Forward-Overflow,,72.6,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv4-Addr-Octet-Count-Forward-Overflow."
3GPP2,5535,3GPP2-Remote-IPv4-Addr-Octet-Count-Mask,,72.2,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv4-Addr-Octet-Count-Mask."
3GPP2,5535,3GPP2-Remote-IPv4-Addr-Octet-Count-Reverse,,72.4,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv4-Addr-Octet-Count-Reverse."
3GPP2,5535,3GPP2-Remote-IPv4-Addr-Octet-Count-Reverse-Overflow,,72.7,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv4-Addr-Octet-Count-Reverse-Overflow."
3GPP2,5535,3GPP2-Remote-IPv4-Addr-Octet-Count-Table-Index,,72.5,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv4-Addr-Octet-Count-Table-Index."
3GPP2,5535,3GPP2-Remote-IPv6-Address-Prefix-Length,,70.2,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv6-Address-Prefix-Length."
3GPP2,5535,3GPP2-Remote-IPv6-Address-Qualifier,,70.3,tlv,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv6-Address-Qualifier."
3GPP2,5535,3GPP2-Remote-IPv6-Address-Value,,70.1,ipv6addr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv6-Address-Value."
3GPP2,5535,3GPP2-Remote-IPv6-Count-Address,,97.1,ipv6addr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv6-Count-Address."
3GPP2,5535,3GPP2-Remote-IPv6-Forward-Octet-Count,,97.3,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv6-Forward-Octet-Count."
3GPP2,5535,3GPP2-Remote-IPv6-Prefix-Length,,97.2,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv6-Prefix-Length."
3GPP2,5535,3GPP2-Remote-IPv6-Reverse-Octet-Count,,97.4,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv6-Reverse-Octet-Count."
3GPP2,5535,3GPP2-Remote-IPv6-Reverse-Octet-Count-Overflow,,97.6,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv6-Reverse-Octet-Count-Overflow."
3GPP2,5535,3GPP2-Remote-IPv6-Table-Index,,97.5,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Remote-IPv6-Table-Index."
3GPP2,5535,3GPP2-Service-Option-Profile-Option,,74.1,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Service-Option-Profile-Option."
3GPP2,5535,3GPP2-Service-Reference-Id-Value,,94.1,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Service-Reference-Id-Value."
3GPP2,5535,3GPP2-Service-Reference-Main-SC-Indicator,,94.2,short,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Service-Reference-Main-SC-Indicator."
3GPP2,5535,3GPP2-Subnet-Sector-ID,,108.2,octets,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Subnet-Sector-ID."
3GPP2,5535,3GPP2-Subnet-Subnet,,108.1,octets,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Subnet-Subnet."
3GPP2,5535,3GPP2-Ike-Preshared-Secret-Request,1,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Ike-Preshared-Secret-Request."
3GPP2,5535,3GPP2-Security-Level,2,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Security-Level."
3GPP2,5535,3GPP2-Pre-Shared-Secret,3,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Pre-Shared-Secret."
3GPP2,5535,3GPP2-Reverse-Tunnel-Spec,4,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Reverse-Tunnel-Spec."
3GPP2,5535,3GPP2-Diffserv-Class-Option,5,,integer,14,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Diffserv-Class-Option."
3GPP2,5535,3GPP2-Accounting-Container,6,,octets,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Accounting-Container."
3GPP2,5535,3GPP2-Home-Agent-IP-Address,7,,ipaddr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Home-Agent-IP-Address."
3GPP2,5535,3GPP2-KeyID,8,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-KeyID."
3GPP2,5535,3GPP2-PCF-IP-Address,9,,ipaddr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-PCF-IP-Address."
3GPP2,5535,3GPP2-BSID,10,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-BSID."
3GPP2,5535,3GPP2-User-Id,11,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-User-Id."
3GPP2,5535,3GPP2-Forward-FCH-Mux-Option,12,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Forward-FCH-Mux-Option."
3GPP2,5535,3GPP2-Reverse-FCH-Mux-Option,13,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Reverse-FCH-Mux-Option."
3GPP2,5535,3GPP2-Service-Option,16,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Service-Option."
3GPP2,5535,3GPP2-Forward-Traffic-Type,17,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Forward-Traffic-Type."
3GPP2,5535,3GPP2-Reverse-Traffic-Type,18,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Reverse-Traffic-Type."
3GPP2,5535,3GPP2-FCH-Frame-Size,19,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-FCH-Frame-Size."
3GPP2,5535,3GPP2-Forward-FCH-RC,20,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Forward-FCH-RC."
3GPP2,5535,3GPP2-Reverse-FCH-RC,21,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Reverse-FCH-RC."
3GPP2,5535,3GPP2-IP-Technology,22,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-IP-Technology."
3GPP2,5535,3GPP2-Compulsory-Tunnel-Indicator,23,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Compulsory-Tunnel-Indicator."
3GPP2,5535,3GPP2-Release-Indicator,24,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Release-Indicator."
3GPP2,5535,3GPP2-Bad-PPP-Frame-Count,25,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Bad-PPP-Frame-Count."
3GPP2,5535,3GPP2-Number-Active-Transitions,30,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Number-Active-Transitions."
3GPP2,5535,3GPP2-Terminating-SDB-Octet-Count,31,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Terminating-SDB-Octet-Count."
3GPP2,5535,3GPP2-Originating-SDB-OCtet-Count,32,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP2-Originating-SDB-OCtet-Count."
